Personliga:,,
Matpaj,"50 %
rabatt",Coop. Fryst. 220 g. Välj mellan olika sorter.
Senap i tub,"50 %
rabatt","Slotts. 220 g. Välj mellan stark, skånsk eller original."
Ramlösa,"Vid köp av 2
50 %
rabatt",Ramlösa. 150 cl. Välj mellan olika sorter. Pant tillkommer.
Skivad Ost,"25 %
rabatt",Wästgöta Kloster. 150 g. Välj mellan olika sorter.
Tapenade,"20 %
rabatt",Coop. 130 g. Välj mellan olika sorter.
Drickyoghurt/drickkvarg,"5:-
 /st",Coop. 330 ml. Välj mellan olika sorter. Gäller även laktosfri. Jfr-pris 15:15/liter.
Picadeli-sallad,"40 %
rabatt",Picadeli.
Smoothie,"25 %
rabatt",Froosh. 250 ml. Välj mellan olika sorter.
,,
Portionsrätter,3 för 75:-,
Hushållsost,89 90 /kg,
Färsk kycklingfilé,109:-, Max 2 köp/hushåll
Apelsiner i nät,19 90 /st,
Chokladkakor,2 för 39:-,
Fruktdryck Fruit crush,17 90 /st,
Skivad julskinka 130 g.,29 90 /st, Scan. Jfr-pris 230:00/kg
Blandfärs 500 g.,44 90 /st," Sverige. 50% nöt, 50% fläsk. Jfr-pris 89:80/kg"
Blandfärs i rulle 500 g.,39 90 /st, Irland/Nederländerna/John's Selection. Kyld. Av 50% fläsk och 50% nöt. Jfr-pris 79:80/kg
Salamisnacks,19 90 /st,
Ekologisk skinka,25:-,
Potatisgratäng 800 g.,2 för 49:-, Coop. Kyld. Jfr-pris 30:63/kg
Ekologisk potatis,20:-,
Saltgurka/Smörgåsgurka,28:-,
Rödbetor,26 90 /st,
Twist,39 90 /st,
Antikljus 10-pack 10 st.,49 90 /förp, Coop Änglamark. 100% stearin. Brinntid 6 tim. Jfr-pris 4:99/st
Kyckl.Inn.File Möra 700 g.,69 90 /st, Kronfågel. Fryst. Jfr-pris 99:86/kg
Plåtburk Jul,2 för 50:-, Senso Kitchen. Burkar i julmotiv. Av lackad plåt. Mått L11xB13xH5 cm. Ord. pris 29:9
Brandvarnare,109:-," Gelia. Optisk brandvarnare för hemmet. Varning avges vid lågt batteri. Dubbel funktionskontroll genom blinklampa (LED) och testknapp för att kontrollera att brandvarnaren är funktionsduglig. 9 V batteri, medföljer. Ord. pris 149 /st"
Fina torskfiléer 3-pack 375 g.,79 90 /st, Findus. Fryst. Jfr-pris 213:07/kg
